"","company","Date","ROI10","ROI10_SPY"
"66","MYL",2004-04-23,1.13868200358608,1.00756719644229
"67","GILD",2004-07-01,9.19148550325421,1.13912858311089
"68","LH",2004-11-01,1.20977954137133,1.18070211635712
"69","NOV",2005-03-14,1.35546219422718,1.10774147785115
"70","STZ",2005-07-01,2.88999076198559,1.1279590696057
"71","PSA",2005-08-19,3.47604972806087,1.08508334200511
"72","AMP",2005-10-03,2.87204162704188,0.986249659975326
"73","LEN",2005-10-04,-0.0394811193794788,1.00886104400672
"74","AMZN",2005-11-18,12.8295118382659,1.04669381460605
"75","EL",2006-01-05,4.79119493805742,0.940806977523004
"76","VRSN",2006-02-01,2.72601299775149,0.85181046199927
"77","BXP",2006-04-03,1.16493423807282,0.954224000545027
"78","GOOG",2006-04-03,2.83927910422485,0.954224000545027
"79","KIM",2006-04-04,0.19148949441345,0.941800177316473
"80","CME",2006-08-11,0.541659036308684,1.11772560327889
"81","FIS",2006-11-10,2.79699980877664,0.931552120230298
"82","CBRE",2006-11-10,-0.114486696514231,0.931552120230298
"83","CTSH",2006-11-17,1.81548107625746,0.919711280955941
"84","AVB",2007-01-10,0.967687997837622,0.970117713112602
"85","RL",2007-02-02,0.00434729260342626,0.936768888865274
"86","VAR",2007-02-12,0.8761405534238,0.998049369816429
"87","CHRW",2007-03-02,1.00224910587685,1.11576170700702
"88","HST",2007-03-20,-0.0638978104228342,1.06893108778147
"89","AIZ",2007-04-10,1.04943365328518,1.00467211254128
"90","DFS",2007-07-02,1.61706946089553,0.966708137112756
"91","AKAM",2007-07-12,-0.00824018033666518,0.947956888449668
"92","JEF",2007-08-27,-0.392250736078933,1.05127825779413
"93","MCHP",2007-09-07,2.41281014795648,1.08304243741496
"94","ICE",2007-09-26,1.33237598313764,1.01761406653743
"95","EXPE",2007-10-02,2.21930375016318,1.01865710618153
"96","NBL",2007-10-08,-0.125179625926794,1.01950984956634
"97","EXPD",2007-10-10,0.334027801589198,1.00928363601719
"98","AMT",2007-11-19,2.61354633936772,1.21499013547092
"99","GME",2007-12-13,-0.579026115255007,1.20611808484348
"100","RRC",2007-12-20,-0.673337862162174,1.25389481020442
"101","PM",2008-03-31,1.97960738413272,1.40238952871663
"102","ISRG",2008-06-02,3.96843142023892,1.43705042188192
"103","COG",2008-06-23,0.4256039686617,1.53734538278193
"104","MA",2008-07-18,6.83222663954485,1.74579675459453
"105","DVA",2008-07-31,1.51674132557713,1.73001411745917
"106","IVZ",2008-08-21,0.383491173673718,1.7575414021908
"107","CF",2008-08-27,1.04744056364582,1.77266386960164
"108","CRM",2008-09-15,10.3080290510949,1.96532555374132
"109","PXD",2008-09-24,2.12416556127166,2.00785775751337
"110","APH",2008-09-30,4.0175062335377,2.09162292096916
"111","FLS",2008-10-02,1.64900795898048,2.20418643870571
"112","NDAQ",2008-10-22,1.96203466583871,2.72953218109773
"113","WEC",2008-10-31,3.48354416360046,2.43551580506631
"114","SJM",2008-11-06,2.52573281961505,2.72199086509227
"115","PBCT",2008-11-13,0.319898045557814,2.66807960364636
"116","WYNN",2008-11-14,2.70501840459251,2.83436126201073
"117","XRAY",2008-11-14,0.303754702452224,2.83436126201073
"118","RSG",2008-12-05,3.42771985339188,2.77220385794798
"119","FLIR",2009-01-02,0.505576765644467,2.30065239918326
"120","IRM",2009-01-06,1.68443933748927,2.33775242322485
"121","WELL",2009-01-30,2.47424275177884,2.96195371911901
"122","VTR",2009-03-03,3.02677772106667,3.89032497533746
"123","HRL",2009-03-03,5.83083338870006,3.89032497533746
"124","HRL",2009-03-04,5.91161768611401,3.77715062197388
"125","VTR",2009-03-04,2.89933604908897,3.77715062197388
"126","ORLY",2009-03-27,10.1239225452537,3.19108117873082
"127","FTI",2009-06-05,0.367065959708659,2.66031353797143
"128","WDC",2009-07-01,1.29035479088259,2.91349907498247
"129","PWR",2009-07-01,0.71539237508288,2.91349907498247
"130","FMC",2009-08-19,3.5275503266023,2.57406679687008
"131","FAST",2009-09-15,3.42403063249057,2.46985314705282
"132","BKNG",2009-11-06,10.6981974767442,2.5028489532778
"133","ROST",2009-12-21,10.5803785324159,2.52404466966004
"134","V",2009-12-21,8.21199567203095,2.52404466966004
"135","ROP",2009-12-23,6.09937632193597,2.50452775428518
"136","NRG",2010-01-29,0.716072552461436,2.71475211819981
"137","HP",2010-02-26,0.344339532692657,2.43561528778634
"138","HP",2010-03-01,0.298516088764018,2.37399522108569
"139","DISCA",2010-03-01,0.672541256651202,2.37399522108569
"140","OKE",2010-03-15,0.918588183370334,1.5365666203636
"141","CERN",2010-04-29,2.28060538255588,1.96830536127433
"142","CERN",2010-04-30,2.30900409646402,1.99140835156667
"143","KMX",2010-06-28,3.25131404682274,2.46304928494791
"144","QEP",2010-06-30,-0.956603086038654,2.65386198524589
"145","CB",2010-07-14,2.39509828472902,2.55738749980751
"146","CB",2010-07-15,2.46113303930728,2.58908649210068
"147","JCI",2010-08-27,2.34106010081338,2.98688509613498
