"","company","ROI5","ROI5_SPY","ROI10","ROI10_SPY"
"69","PXD",2.28710750962004,0.587529308991335,2.12416556127166,2.00785775751337
"70","FLS",1.80208827560238,0.684534014914452,1.64900795898048,2.20418643870571
"71","NDAQ",0.126010254657298,1.15526735676812,1.96203466583871,2.72953218109773
"72","WEC",1.27218318024608,1.02185958417343,3.48354472500204,2.43551580506631
"73","SJM",2.18140905002662,1.17162152066302,2.52573438627638,2.72199086509227
"74","PBCT",-0.0124480923049938,1.17901849907096,0.319898441240494,2.66807960364636
"75","WYNN",4.322592944952,1.3049213673804,2.70501840459251,2.83436126201073
"76","XRAY",0.700321205948653,1.3049213673804,0.303754702452224,2.83436126201073
"77","FLIR",-0.0514143047057491,1.18560602951218,0.505576523926895,2.30065239918326
"78","WELL",1.00551819993691,1.4034213212765,2.47424309829813,2.96195371911901
